year,hs_id,pci
2000,115512,0.171711
2000,115514,-0.839607
2000,115516,-0.401885
2000,115601,1.06721
2000,115602,0.79478
2000,115603,0.940727
2000,115606,-0.048945
2000,115608,-1.07698
2000,115701,-1.70008
2000,115702,-1.22085
2000,115703,-0.27392
2000,115704,-0.471759
2000,115801,-0.40314
2000,115803,-0.721473
2000,115902,-0.643588
2000,115904,1.30686
2000,115905,0.789555
2000,115909,1.29004
2000,116001,-0.539027
2000,116104,-1.3859
2000,116105,-1.74482
2000,116110,-1.67431
2000,116112,-1.62848
2000,116113,-1.08645
2000,116115,-1.55221
2000,116201,-1.2516
2000,116202,-1.19902
2000,116203,-0.830009
2000,116204,-1.14279
2000,116205,-1.75335
2000,116206,-1.62872
2000,116207,-1.93545
2000,116208,-1.96615
2000,116209,-1.57287
2000,116210,-1.64098
2000,116212,-1.2253
2000,116216,-1.50848
2000,116301,0.092131
2000,116302,-0.888946
2000,116305,-1.5292
2000,116306,-0.913037
2000,116310,-0.509514
2000,126405,-1.01694
2000,126406,-0.465621
2000,126502,-0.732993
2000,126504,-1.28986
2000,126603,-0.523039
2000,136801,-0.947986
2000,136804,1.23262
2000,136805,1.47443
2000,136806,1.03388
2000,136811,0.087867
2000,136812,0.426909
2000,136814,0.66577
2000,136903,1.27142
2000,136904,-0.546679
2000,136909,0.73556
2000,136910,-0.560444
2000,136911,-0.486246
2000,136912,-0.760489
2000,136913,-0.858453
2000,137002,0.861147
2000,137003,0.644929
2000,137004,0.326307
2000,137005,0.445408
2000,137007,0.601205
2000,137009,0.674659
2000,137010,0.59658
2000,137011,0.757242
2000,137012,-0.427495
2000,137013,0.152132
2000,137014,0.261502
2000,137015,0.609913
2000,137019,-0.383074
2000,147101,-0.463873
2000,147102,-1.51749
2000,147103,-1.74608
2000,147104,-0.564857
2000,147107,-0.493748
2000,147110,0.812318
2000,147112,-0.90801
2000,147114,-1.48584
2000,147115,0.60637
2000,147118,-0.650677
2000,157201,-0.699611
2000,157202,-0.604388
2000,157204,-0.535868
2000,157205,-0.330539
2000,157206,0.017776
2000,157207,-0.551838
2000,157208,0.029728
2000,157209,0.830216
2000,157212,0.387029
2000,157213,0.385767
2000,157215,-0.060182
2000,157216,0.466008
2000,157217,0.252133
2000,157302,0.633517
2000,157303,0.364506
2000,157304,0.577301
2000,157305,0.357839
2000,157307,0.79436
2000,157308,0.389011
2000,157310,0.14042
2000,157313,-0.3769
2000,157314,0.728053
2000,157315,0.720245
2000,157316,0.978986
2000,157319,0.799104
2000,157320,1.06992
2000,157322,0.898144
2000,157324,0.2591
2000,157325,0.245646
2000,157326,0.611715
2000,157410,0.45772
2000,157413,-0.016098
2000,157415,1.19076
2000,157502,-0.027275
2000,157507,1.22583
2000,157601,-0.837583
2000,157604,0.191531
2000,157610,0.499762
2000,157611,0.42817
2000,157615,-0.82345
2000,157801,-0.414642
2000,157804,0.476759
2000,157901,-0.440528
2000,157905,0.441263
2000,158001,-1.06674
2000,158002,-0.951571
2000,158007,0.692377
2000,158106,-0.928929
2000,158201,0.062581
2000,158206,0.924451
2000,158209,1.48668
2000,158210,-0.874352
2000,158214,-0.177391
2000,158301,0.530153
2000,158304,0.288349
2000,158310,0.895862
2000,168401,1.07875
2000,168402,0.703368
2000,168404,0.868354
2000,168405,0.862649
2000,168406,1.35473
2000,168407,0.373215
2000,168408,1.16577
2000,168410,1.25947
2000,168411,-0.368786
2000,168413,1.20241
2000,168414,1.15028
2000,168415,0.094113
2000,168416,1.231
2000,168417,0.846913
2000,168418,0.196216
2000,168419,0.172132
2000,168421,1.32782
2000,168422,0.742407
2000,168423,1.66908
2000,168425,1.12379
2000,168431,0.91346
2000,168432,0.575138
2000,168434,1.13977
2000,168435,1.27671
2000,168437,1.2886
2000,168438,0.783669
2000,168439,1.8641
2000,168440,1.54566
2000,168441,0.911958
2000,168442,1.81965
2000,168443,2.09918
2000,168445,1.06764
2000,168448,1.14854
2000,168449,1.28512
2000,168450,0.643007
2000,168451,0.88361
2000,168452,0.387509
2000,168453,0.413095
2000,168454,0.840426
2000,168455,0.852799
2000,168457,1.21376
2000,168458,1.02547
2000,168462,0.868715
2000,168465,1.66314
2000,168466,1.39635
2000,168467,1.8659
2000,168469,-0.95234
2000,168470,-0.161997
2000,168471,1.69377
2000,168473,0.776101
2000,168474,0.988536
2000,168475,2.21581
2000,168479,0.972139
2000,168481,1.25262
2000,168482,0.742047
2000,168483,1.70194
2000,168485,1.0901
2000,168502,0.462345
2000,168503,0.846732
2000,168504,-0.437014
2000,168506,0.66601
2000,168508,1.27647
2000,168509,0.649914
2000,168510,0.828474
2000,168515,1.42403
2000,168517,0.865051
2000,168518,0.058678
2000,168519,0.233154
2000,168520,-0.001563
2000,168522,0.353155
2000,168523,1.76422
2000,168525,0.590874
2000,168526,1.16752
2000,168527,-0.911914
2000,168528,0.32883
2000,168533,0.341323
2000,168534,0.301863
2000,168538,0.627692
2000,168539,1.54662
2000,168540,0.3979
2000,168541,0.176276
2000,168542,0.038797
2000,168544,-0.394636
2000,168545,0.230451
2000,168546,0.622887
2000,178601,1.02217
2000,178602,-0.059011
2000,178605,0.266848
2000,178607,0.810996
2000,178701,0.97334
2000,178702,0.587871
2000,178703,1.25238
2000,178704,0.860667
2000,178705,0.637602
2000,178706,0.76523
2000,178707,1.1937
2000,178708,1.42235
2000,178709,1.27845
2000,178711,0.84385
2000,178712,-0.68862
2000,178714,0.411173
2000,178715,-0.047906
2000,178716,0.597001
2000,178801,1.61341
2000,178802,0.317839
2000,178803,1.19244
2000,178902,-0.086375
2000,178904,0.325707
2000,178906,0.419521
2000,178908,-0.764933
2000,189001,0.7355
2000,189004,0.206427
2000,189005,0.193634
2000,189006,-0.162598
2000,189007,-0.530282
2000,189008,1.81707
2000,189009,0.710335
2000,189014,0.103543
2000,189017,1.46782
2000,189018,1.41719
2000,189019,0.570874
2000,189021,1.79299
2000,189022,1.63299
2000,189025,0.906493
2000,189027,2.0835
2000,189028,0.243965
2000,189029,1.14529
2000,189030,1.75419
2000,189032,1.04523
2000,189033,0.68529
2000,189104,0.029008
2000,189108,-0.309896
2000,189201,0.257298
2000,189209,0.648833
2000,199303,0.549072
2000,209401,-0.219289
2000,209403,-0.303392
2000,209404,0.208048
2000,209503,-0.210148
2000,209507,-0.743269
2000,209602,-1.29076
2000,209603,-1.1432
2000,209605,-1.11194
2000,209606,-0.54346
2000,209609,0.613457
2000,209611,0.733999
2000,219706,-0.500967
2001,010101,0.140095
2001,010102,-0.457266
2001,010103,0.15278
2001,010105,-0.57598
2001,010106,-1.52332
2001,010201,-0.389108
2001,010203,0.603627
2001,010204,-0.952866
2001,010205,-0.104221
2001,010206,-0.368773
2001,010207,0.59018
2001,010208,-0.007742
2001,010209,0.106993
2001,010210,1.14316
2001,010301,-1.29248
2001,010303,-1.38231
2001,010304,-1.43196
2001,010305,-1.43115
2001,010306,-1.81595
2001,010403,0.128934
2001,010404,-0.540757
2001,010405,0.269398
2001,010406,0.229763
2001,010407,-0.730976
2001,010408,0.157734
2001,010409,-0.817045
2001,010503,-1.04622
2001,010506,-1.57624
2001,010511,-1.12566
2001,020601,-0.897235
2001,020604,-1.65077
2001,020701,-0.7336
2001,020702,-0.898901
2001,020704,-1.00998
2001,020712,-0.768008
2001,020713,-2.03193
2001,020802,-1.76783
2001,020803,-1.89626
2001,020805,-1.25802
2001,020806,-0.871641
2001,020808,-0.418976
2001,020810,-1.36473
2001,020811,-0.615887
2001,020901,-2.04173
2001,020902,-2.03743
2001,020903,-1.36119
2001,020904,-1.41879
2001,020908,-1.57602
2001,021001,-0.451527
2001,021002,0.687906
2001,021003,-0.007322
2001,021004,0.151909
2001,021005,-1.57227
2001,021006,-0.503301
2001,021007,-1.71888
2001,021102,-1.59208
2001,021103,-1.27234
2001,021104,-0.294393
2001,021105,-0.916149
2001,021107,0.269235
2001,021201,-1.07694
2001,021202,-1.97177
2001,021206,-0.330396
2001,021207,-2.43531
2001,021208,-1.20684
2001,021209,-0.809837
2001,021211,-1.83452
2001,021214,-1.08445
2001,021301,-1.73309
2001,021302,-1.25823
2001,021401,-0.836906
2001,031501,0.99818
2001,031504,-0.611499
2001,031507,-0.596881
2001,031508,-1.11205
2001,031509,-0.209776
2001,031511,-1.84497
2001,031512,-0.66291
2001,031513,-1.83174
2001,031515,-0.931519
2001,031516,-0.934649
2001,031517,-0.541046
2001,031518,0.001666
2001,031520,-0.822887
2001,031521,-1.77305
2001,031522,-0.611085
2001,041601,0.227749
2001,041602,-0.083957
2001,041603,-0.359828
2001,041604,-1.0918
2001,041605,-1.13094
2001,041701,-2.2025
2001,041702,-0.530763
2001,041703,-1.48641
2001,041704,-0.614668
2001,041801,-2.63827
2001,041802,-0.489058
2001,041803,-1.46164
2001,041805,-0.439926
2001,041806,0.154631
2001,041901,-0.007627
2001,041902,-1.14488
2001,041905,-0.220387
2001,042001,-0.819185
2001,042004,-0.926493
2001,042005,-0.506733
2001,042006,-0.741195
2001,042007,-0.480048
2001,042008,-1.10149
2001,042009,-0.887958
2001,042101,-0.469717
2001,042202,-0.08803
2001,042203,0.004269
2001,042205,-0.611347
2001,042206,0.086304
2001,042208,-0.414942
2001,042301,-1.28126
2001,042302,-1.70935
2001,042306,-1.34311
2001,042401,-2.02186
2001,042402,-1.55032
2001,042403,-0.420609
2001,052501,-1.13383
2001,052502,-1.18626
2001,052503,-0.841708
2001,052504,-0.385504
2001,052505,-0.481041
2001,052506,-1.08102
2001,052509,-0.893381
2001,052510,-1.24185
2001,052513,-0.493787
2001,052516,-1.24049
2001,052517,-0.029437
2001,052520,-0.789666
2001,052522,-0.520706
2001,052523,-1.1622
2001,052524,-1.55452
2001,052601,-0.985614
2001,052602,-1.63733
2001,052604,-1.18909
2001,052606,-1.10383
2001,052607,-0.617717
2001,052616,-1.17036
2001,052620,-0.702796
2001,052621,-0.182707
2001,052701,-0.844022
2001,052703,0.316601
2001,052704,-0.081246
2001,052706,-0.475133
2001,052708,0.162689
2001,052709,-2.34841
2001,052711,-2.03357
2001,052712,-0.431656
2001,052715,-0.900747
2001,062805,-0.705071
2001,062810,-0.814089
2001,062812,0.495393
2001,062818,-0.79443
2001,062819,-0.273023
2001,062830,-0.495814
2001,062840,-0.217524
2001,062841,0.168732
2001,062844,-0.223649
2001,062847,0.400172
2001,062901,-0.218155
2001,062902,0.085106
2001,062903,0.62878
2001,062904,0.210272
2001,062906,0.751768
2001,062908,1.40841
2001,062909,0.127246
2001,062914,1.32588
2001,062916,1.1393
2001,062917,0.582993
2001,062918,1.19684
2001,062920,1.77389
2001,062921,1.56488
2001,062922,0.900835
2001,062924,1.50614
2001,062926,1.32838
2001,062930,1.93047
2001,062931,1.54621
2001,062933,1.7127
2001,062935,1.25172
2001,062936,1.03831
2001,062937,1.56418
2001,062939,0.702605
2001,062940,0.799406
2001,062941,1.00488
2001,063002,1.13804
2001,063003,0.744201
2001,063005,1.11621
2001,063101,-0.59178
2001,063102,-0.900007
2001,063103,-0.998288
2001,063104,-0.854508
2001,063105,-0.413172
2001,063201,-0.9901
2001,063202,-0.147193
2001,063204,1.19385
2001,063205,0.542814
2001,063206,1.11061
2001,063212,0.454942
2001,063213,1.11077
2001,063215,1.54436
2001,063301,-0.900458
2001,063302,0.55049
2001,063303,0.100351
2001,063401,-1.2351
2001,063402,-0.124354
2001,063403,-0.679107
2001,063404,0.897895
2001,063405,0.227966
2001,063505,0.539547
2001,063601,-0.510598
2001,063603,-0.375236
2001,063604,-0.171138
2001,063605,-0.075371
2001,063705,1.15601
2001,063706,-0.087349
2001,063707,1.48126
2001,063803,0.210163
2001,063808,-0.409965
2001,063811,1.20414
2001,063816,0.410679
2001,063819,2.08743
2001,073902,0.044165
2001,073903,0.893594
2001,073904,-0.076765
2001,073905,0.721824
2001,073906,1.54164
2001,073907,1.36714
2001,073908,1.42006
2001,073909,0.535028
2001,073910,2.06212
2001,073912,1.17055
2001,073913,0.747521
2001,073914,1.35827
2001,073915,0.291829
2001,073918,0.612556
2001,073919,1.22864
2001,073922,0.518314
2001,073923,0.051188
2001,074001,-2.18579
2001,074002,0.697651
2001,074003,-0.212961
2001,074005,1.1479
2001,074010,0.895826
2001,074011,0.343441
2001,074012,-0.011319
2001,074014,0.485376
2001,074015,-0.135221
2001,074016,0.934807
2001,084101,-1.21675
2001,084102,-1.22617
2001,084104,-1.19786
2001,084105,-1.55795
2001,084106,-1.25965
2001,084108,-0.725743
2001,084110,-1.38574
2001,084111,-0.68361
2001,084201,0.172434
2001,084203,-0.675312
2001,084204,-0.962001
2001,084205,0.084453
2001,084206,-1.16421
2001,084301,0.241251
2001,084302,-0.093349
2001,094402,-1.14428
2001,094405,-1.12245
2001,094406,-1.22475
2001,094407,-0.336908
2001,094408,-0.669024
2001,094410,0.221215
2001,094411,0.065507
2001,094412,-0.973255
2001,094414,-0.790058
2001,094415,-0.100323
2001,094416,0.300376
2001,094417,-0.301182
2001,094418,-0.013736
2001,094503,-0.34582
2001,094601,-1.17788
2001,104701,0.707723
2001,104702,0.258781
2001,104703,0.160511
2001,104707,-0.24995
2001,104801,0.11407
2001,104802,1.39796
2001,104803,0.118099
2001,104804,0.326618
2001,104805,0.541398
2001,104807,0.932194
2001,104809,1.19984
2001,104817,0.225408
2001,104818,0.33473
2001,104819,0.207822
2001,104820,-0.490468
2001,104822,0.292155
2001,104902,0.876825
2001,104904,0.238529
2001,104905,0.479931
2001,104908,0.357542
2001,115001,-1.13192
2001,115002,-2.00667
2001,115004,-0.290168
2001,115007,-0.264008
2001,115101,-1.46327
2001,115104,-0.479934
2001,115105,-1.04852
2001,115112,0.614516
2001,115201,-2.31351
2001,115202,-1.26351
2001,115203,-1.86882
2001,115206,-1.26085
2001,115208,-1.08919
2001,115301,-0.328071
2001,115302,-0.376809
2001,115303,-1.89882
2001,115304,-1.45429
2001,115305,-0.445011
2001,115309,0.949235
2001,115310,-1.61048
2001,115408,0.674023
2001,115501,-0.046729
2001,115502,0.880309
2001,115503,0.392386
2001,115505,0.162906
2001,115506,0.136066
2001,115509,0.429353
2001,115510,0.030864
2001,115511,-0.736077
2001,115512,0.31769
2001,115514,-0.323057
2001,115516,0.077103
2001,115601,0.32395
2001,115602,0.619579
2001,115603,1.17267
2001,115606,0.086468
2001,115608,-0.851704
2001,115701,-1.63188
2001,115702,-1.04439
2001,115703,-0.418889
2001,115704,0.117337
2001,115801,0.138243
2001,115803,-0.601073
2001,115902,0.312898
2001,115904,0.278272
2001,115905,0.974715
2001,115909,1.2913
2001,116001,-1.0009
2001,116104,-0.867515
2001,116105,-1.14336
2001,116110,-1.03383
2001,116112,-1.01558
2001,116113,-0.362349
2001,116115,-0.594164
2001,116201,-0.630478
2001,116202,-0.591927
2001,116203,-0.621909
2001,116204,-0.929161
2001,116205,-0.984661
2001,116206,-0.839454
2001,116207,-1.23923
2001,116208,-1.55065
2001,116209,-0.673946
2001,116210,-0.680572
2001,116212,-0.341317
2001,116216,-0.677833
2001,116301,0.667925
2001,116302,-0.308248
2001,116305,-1.22252
2001,116306,-0.457726
2001,116310,-0.400988
2001,126405,-0.32867
2001,126406,0.021201
2001,126502,-0.767747
2001,126504,-0.301285
2001,126603,0.140911
2001,136801,-0.79223
2001,136804,1.33927
2001,136805,1.42344
2001,136806,1.22276
2001,136811,-0.080919
2001,136812,0.236133
2001,136814,0.754654
2001,136903,1.2533
2001,136904,-0.435069
2001,136909,0.339412
2001,136910,-0.399561
2001,136911,0.046016
2001,136912,-0.121888
2001,136913,-0.156939
2001,137002,0.62437
2001,137003,0.448572
2001,137004,-0.013621
2001,137005,0.685674
2001,137007,0.80349
2001,137009,0.965024
2001,137010,0.535028
2001,137011,0.815903
2001,137012,-0.572371
2001,137013,0.505683
2001,137014,1.02551
2001,137015,0.452982
2001,137019,-0.058717
2001,147101,-0.673467
2001,147102,-1.2064
2001,147103,-1.59736
2001,147104,-0.032018
2001,147107,-0.383549
2001,147110,1.00912
2001,147112,-1.61811
2001,147114,-0.324984
2001,147115,0.230797
2001,147118,-0.237837
2001,157201,-0.971812
2001,157202,-0.959127
2001,157204,-0.344693
2001,157205,-0.344992
2001,157206,-0.446573
2001,157207,-0.355108
2001,157208,-0.12301
2001,157209,0.98544
2001,157212,0.49229
2001,157213,0.324059
2001,157215,-0.608445
2001,157216,0.151528
2001,157217,-0.0163
2001,157302,0.925334
2001,157303,0.382913
2001,157304,0.620614
2001,157305,0.37834
2001,157307,1.02687
2001,157308,0.392822
2001,157310,-0.007279
2001,157313,-0.962208
2001,157314,0.505302
2001,157315,1.27535
2001,157316,1.16102
2001,157319,0.681046
2001,157320,1.28265
2001,157322,0.830221
2001,157324,0.328088
2001,157325,0.585062
2001,157326,0.196335
2001,157402,-1.26498
2001,157410,0.245715
2001,157413,0.220834
2001,157415,1.27513
2001,157502,0.039194
2001,157507,1.19429
2001,157601,-0.89527
2001,157604,-0.097214
2001,157610,0.56421
2001,157611,0.021691
2001,157615,-0.358979
2001,157801,-0.145086
2001,157804,-0.042727
2001,157901,-0.141842
2001,157905,0.034093
2001,158001,-0.473429
2001,158002,-0.671256
2001,158007,0.963771
2001,158103,0.175646
2001,158106,-1.04538
2001,158201,-0.17913
2001,158206,1.15068
2001,158209,1.27976
2001,158210,-0.099354
2001,158214,0.228892
2001,158301,0.98103
2001,158304,0.518205
2001,158310,0.612011
2001,168401,0.849494
2001,168402,0.742023
2001,168404,-0.102218
2001,168405,0.379973
2001,168406,0.062948
2001,168407,-1.08663
2001,168408,1.65531
2001,168410,0.919781
2001,168411,1.14088
2001,168413,0.239563
2001,168414,1.33393
2001,168415,0.620995
2001,168416,1.31096
2001,168417,1.72729
2001,168418,0.115214
2001,168419,0.151092
2001,168421,0.193939
2001,168422,0.747848
2001,168423,1.47538
2001,168425,1.32773
2001,168431,0.999976
2001,168432,0.840076
2001,168434,0.531326
2001,168435,1.40547
2001,168437,0.755361
2001,168438,0.139332
2001,168439,0.662481
2001,168440,1.82572
2001,168441,1.08649
2001,168442,1.41854
2001,168443,2.35132
2001,168445,1.29027
2001,168448,1.39083
2001,168449,1.18802
2001,168450,0.850583
2001,168451,1.09003
2001,168452,0.390481
2001,168453,0.158496
2001,168454,0.968181
2001,168455,1.02148
2001,168457,2.06565
2001,168458,1.04533
2001,168462,1.26201
2001,168465,1.24829
2001,168466,1.52933
2001,168467,1.65896
2001,168469,0.233084
2001,168470,1.037
2001,168471,0.608418
2001,168473,1.65188
2001,168474,0.22862
2001,168475,2.16795
2001,168479,0.439643
2001,168481,1.51441
2001,168482,1.24563
2001,168483,1.57343
2001,168485,1.34107
2001,168502,0.98103
2001,168503,1.41691
2001,168504,0.059899
2001,168506,0.688015
2001,168508,1.31199
2001,168509,0.818679
2001,168510,0.482926
2001,168515,1.89138
2001,168517,1.10184
2001,168518,0.53726
2001,168519,0.427774
2001,168520,0.910199
2001,168522,1.09547
2001,168523,1.60691
2001,168525,1.20392
2001,168526,1.25347
2001,168527,0.202705
2001,168528,0.808988
2001,168533,1.03754
2001,168534,0.430714
2001,168538,1.53483
2001,168539,1.33486
2001,168540,0.245552
2001,168541,0.891525
2001,168542,1.26065
2001,168544,-0.016975
2001,168545,1.08458
2001,168546,1.4481
2001,178602,0.578529
2001,178603,1.42709
2001,178605,1.25325
2001,178607,0.92038
2001,178701,1.35288
2001,178702,0.227095
2001,178703,1.48491
2001,178704,0.545481
2001,178705,-0.494878
2001,178706,0.68796
2001,178707,1.15498
2001,178708,1.56695
2001,178709,1.57915
2001,178711,0.78144
2001,178712,-0.085498
2001,178714,0.642173
2001,178715,0.484232
2001,178716,0.801747
2001,178801,0.624915
2001,178802,-0.751855
2001,178803,0.60526
2001,178902,0.671845
2001,178904,-0.356366
2001,189001,1.48316
2001,189004,0.835284
2001,189005,0.945152
2001,189006,0.402131
2001,189007,-0.64343
2001,189008,1.83111
2001,189009,0.6425
2001,189014,0.50013
2001,189017,1.96167
2001,189018,1.55514
2001,189019,1.05464
2001,189021,1.51665
2001,189022,2.00364
2001,189025,1.27758
2001,189027,2.2555
2001,189028,0.44732
2001,189029,1.51022
2001,189030,1.49726
2001,189032,1.39241
2001,189033,1.14289
